,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,
2015-06-30,28.662981033325195,434.0899963378906,85.7699966430664,181.3444061279297,520.510009765625,540.0399780273438,56.643489837646484,39.498023986816406,53.652000427246094,64.41377258300781,177482800,2596900,23016500.0,4622514,2217200,1725500,20677400,35945400,15434500.0,6811000
2015-07-01,28.930343627929688,437.3900146484375,86.91000366210938,181.95863342285156,521.8400268554688,543.2999877929688,57.27455520629883,39.76640319824219,53.83000183105469,65.0852279663086,120955200,1987100,25260000.0,3955562,1961000,1538000,13964400,28343900,10506000.0,6260800
2015-07-02,28.893787384033203,437.7099914550781,87.29000091552734,182.77767944335938,523.4000244140625,547.3400268554688,56.81178283691406,39.7216796875,56.00400161743164,65.45933532714844,108844000,1343400,16908800.0,3380299,1235900,1406200,12822900,21752000,35819500.0,5053000
2015-07-06,28.793235778808594,436.0400085449219,87.55000305175781,179.56985473632812,522.8599853515625,545.6199951171875,56.651920318603516,39.71273422241211,55.944000244140625,65.34422302246094,112241600,1903200,24635900.0,3621553,1280500,1280700,13527100,23034000,20609500.0,5270600
2015-07-07,28.722393035888672,436.7200012207031,87.22000122070312,180.66189575195312,525.02001953125,550.030029296875,56.20597457885742,39.63221740722656,53.57600021362305,65.00849151611328,187787200,3454200,33059900.0,4244123,1597200,1678900,22421500,36435800,30525500.0,6500700
2015-07-08,28.00942039489746,429.70001220703125,85.6500015258789,176.7032928466797,516.8300170898438,541.7000122070312,55.05324172973633,39.57853698730469,50.992000579833984,64.01089477539062,243046400,2383100,24399300.0,4163991,1296700,1383100,17707200,39785900,31105500.0,5973500
2015-07-09,27.438121795654297,434.3900146484375,85.87999725341797,177.590576171875,520.6799926757812,544.6500244140625,55.625396728515625,39.82904815673828,51.58399963378906,64.31784057617188,314380000,2271400,23307400.0,3953482,1842300,1488300,14984700,32424700,16670500.0,4837800
2015-07-10,28.171659469604492,443.510009765625,87.94999694824219,179.29684448242188,530.1300048828125,556.1099853515625,56.41632080078125,39.90956497192383,51.83000183105469,65.63201904296875,245418000,2401000,23245900.0,3296774,1956700,2171800,12356100,25465800,13054500.0,5110200
2015-07-13,28.715539932250977,455.57000732421875,90.0999984741211,180.66189575195312,546.5499877929688,571.72998046875,57.29136657714844,40.741554260253906,52.43199920654297,66.68718719482422,165762000,3956800,29976700.0,3162198,2206500,2089600,16175600,28178300,14801500.0,6832300
2015-07-14,28.70410919189453,465.57000732421875,89.68000030517578,181.95863342285156,561.0999755859375,584.1799926757812,58.09071731567383,40.81312942504883,53.130001068115234,67.24354553222656,127072400,4736200,26627800.0,2898298,3244100,3741600,20185100,22880300,9538000.0,5635400
2015-07-15,28.980621337890625,461.19000244140625,89.76000213623047,182.70941162109375,560.219970703125,583.9600219726562,58.21693420410156,40.938377380371094,52.62799835205078,67.16681671142578,134596800,2987400,30886600.0,3630263,1784600,2073300,16891600,26629600,10108000.0,4506200
2015-07-16,29.36681365966797,475.4800109863281,90.8499984741211,184.55223083496094,579.8499755859375,601.780029296875,58.528228759765625,41.743553161621094,53.33599853515625,67.69438934326172,144889600,4095600,21804100.0,3982602,4768300,5632100,18035700,26271700,8080000.0,6512500
2015-07-17,29.620468139648438,483.010009765625,94.97000122070312,185.91725158691406,672.9299926757812,699.6199951171875,58.23374938964844,41.707759857177734,54.93199920654297,67.99176025390625,184658800,4932200,54001600.0,5354830,11164900,12858100,14040700,29467100,25020500.0,6287600
2015-07-20,30.180339813232422,488.1000061035156,97.91000366210938,185.2346954345703,663.02001953125,692.8400268554688,58.27583312988281,41.976158142089844,56.45199966430664,69.73760223388672,235600800,4752500,54860500.0,3209258,5860900,5121800,11512900,30631900,24892500.0,10198500
2015-07-21,29.878690719604492,488.0,98.38999938964844,183.2554473876953,662.2999877929688,695.3499755859375,58.141204833984375,42.298221588134766,53.354000091552734,69.08531951904297,307025600,3181800,39453300.0,3806699,3377200,3780200,11659900,42781900,30543500.0,10919600
2015-07-22,28.614986419677734,488.2699890136719,97.04000091552734,181.75389099121094,662.0999755859375,695.0999755859375,58.96577072143555,40.741554260253906,53.57400131225586,69.03736877441406,461802400,3114900,28299500.0,3137342,3929300,4155000,15493000,59152400,15525000.0,6303200
2015-07-23,28.601280212402344,482.17999267578125,95.44000244140625,179.22862243652344,644.280029296875,674.72998046875,58.59556198120117,41.25149917602539,53.439998626708984,68.82630157470703,203998000,9374400,29418800.0,3016156,3029100,3811600,14331800,33934000,11136000.0,10755700
2015-07-24,28.45045280456543,529.4199829101562,96.94999694824219,175.74777221679688,623.5599975585938,654.77001953125,57.981353759765625,41.09941864013672,53.082000732421875,71.75202941894531,168649200,21909400,33444900.0,4046146,3625700,4131100,12413900,32333200,14182500.0,21196100
2015-07-27,28.05511474609375,531.4099731445312,94.16999816894531,177.11280822753906,627.260009765625,658.27001953125,57.224063873291016,40.57158279418945,50.60200119018555,70.8503189086914,177822000,7491000,38585400.0,4716010,2675400,2919100,16801600,39701400,23471000.0,10293800
2015-07-28,28.194517135620117,526.030029296875,95.29000091552734,178.13658142089844,628.0,659.6599731445312,57.25774002075195,40.56263732910156,52.9640007019043,71.69447326660156,134472400,5273100,35236000.0,3608579,1727300,1718200,14932400,34328900,19479000.0,10054300
2015-07-29,28.10539436340332,529.0,96.98999786376953,179.22862243652344,631.9299926757812,661.4299926757812,58.006568908691406,41.412540435791016,52.763999938964844,72.91272735595703,148046800,3752600,64648300.0,3118427,1575100,1837800,13059200,40945900,13950500.0,13746900
2015-07-30,27.963716506958008,536.760009765625,95.20999908447266,178.27305603027344,632.5900268554688,664.5599975585938,58.09071731567383,41.940372467041016,53.358001708984375,73.26765441894531,134513200,3743100,86211300.0,2875457,1474200,1980300,10197200,39777900,10173000.0,6507000
2015-07-31,27.719202041625977,536.1500244140625,94.01000213623047,178.13658142089844,625.6099853515625,657.5,57.661598205566406,41.779335021972656,53.22999954223633,72.27002716064453,171540000,3025600,46509000.0,3015675,1706100,1746100,11911800,31201500,11113000.0,8526300
2015-08-03,27.065637588500977,535.030029296875,94.13999938964844,176.56680297851562,631.2100219726562,664.719970703125,57.661598205566406,41.877750396728516,51.99800109863281,72.68248748779297,279904000,3014200,29343100.0,4235439,1304500,1567400,9980600,24125900,12767500.0,5810800
2015-08-04,26.197269439697266,531.9000244140625,94.05999755859375,176.7715606689453,629.25,661.280029296875,57.60270690917969,42.53083038330078,53.25600051879883,72.20288848876953,496554400,2934600,20136000.0,2858076,1490900,1309400,10964000,33403900,11762500.0,6957900
2015-08-05,26.370946884155273,537.010009765625,96.44000244140625,178.13658142089844,643.780029296875,673.2899780273438,57.82987976074219,42.56661605834961,54.0260009765625,71.92469787597656,397250400,2889400,29813200.0,3311282,2334300,1822400,11302900,26959700,31071500.0,6976400
2015-08-06,26.428335189819336,529.4600219726562,95.12000274658203,177.65882873535156,642.6799926757812,670.1500244140625,57.4260139465332,41.707759857177734,49.22600173950195,70.58175659179688,211612000,3820500,42271300.0,2248766,1572600,2033000,10803400,27368000,73119000.0,7767800
2015-08-07,26.517854690551758,522.6199951171875,94.30000305175781,176.02078247070312,635.2999877929688,664.3900146484375,57.25774002075195,41.81513214111328,48.50199890136719,71.18606567382812,154681600,3969200,23199100.0,3369106,1403900,1377200,11453300,19163000,25367000.0,6484600
2015-08-10,27.48197364807129,524.0,94.1500015258789,179.0921173095703,633.72998046875,663.1400146484375,57.96449661254883,42.34295654296875,48.22800064086914,71.34912109375,219806400,2615900,21624200.0,3052296,1809200,1722900,12661400,23079900,20929500.0,6183500
2015-08-11,26.051870346069336,527.4600219726562,93.62000274658203,175.47476196289062,660.780029296875,690.2999877929688,57.40917205810547,41.519893646240234,47.4739990234375,70.37073516845703,388331200,2676600,22491000.0,3670589,5029200,5494000,14800300,29237400,21324500.0,6476000
2015-08-12,26.453584671020508,525.9099731445312,94.19000244140625,176.49856567382812,659.5599975585938,691.469970703125,56.57618713378906,41.81513214111328,47.63399887084961,70.65896606445312,404870000,3962300,27050500.0,4091724,2936700,2924900,21069000,30181400,18640000.0,7625100
